"_id",country,date,keyword,lang,__v,absolute,difficult,normalized,similarWord,traffic
62f65e9c2647f9326ecded86,br,2022-06-02T00:00:00.000Z,NUGGETS,pt-BR,0,50000,0,99,nuggets,5
62f65e9c2647f9326ecded88,br,2022-07-02T00:00:00.000Z,NUGGETS,pt-BR,0,50000,0,99,nuggets,5
62f65e9c2647f9326ecded92,br,2022-06-02T00:00:00.000Z,PROMOÇÃO DE HAMBÚRGUER,pt-BR,0,500,0,98,promoção de hambúrguer,0.1
62f65eed2647f9326ece9512,br,2022-06-02T00:00:00.000Z,SANDUÍCHE DELIVERY,pt-BR,0,500,0,98,sanduíche delivery,0.1
62f65eed2647f9326ece9513,br,2022-07-02T00:00:00.000Z,SANDUÍCHE DELIVERY,pt-BR,0,500,0,98,sanduíche delivery,0.1
62f660d02647f9326ecede5a,br,2022-07-02T00:00:00.000Z,PROMOS,pt-BR,0,50000,0,99,promos,5
62f660d02647f9326ecede5f,br,2022-06-02T00:00:00.000Z,PROMOS,pt-BR,0,50000,0,99,promos,5
62f661202647f9326eceec7d,br,2022-06-02T00:00:00.000Z,ANTECIPE SUAS VENDAS,pt-BR,0,50,0,86,antecipe suas vendas,0
62f661202647f9326eceec7f,br,2022-07-02T00:00:00.000Z,ANTECIPE SUAS VENDAS,pt-BR,0,50,0,86,antecipe suas vendas,0
62f661202647f9326eceec87,br,2022-06-02T00:00:00.000Z,SOLUÇÕES DIGITAIS,pt-BR,0,500,0,98,soluções digitais,0.1
62f661202647f9326eceec85,br,2022-07-02T00:00:00.000Z,SOLUÇÕES DIGITAIS,pt-BR,0,500,0,98,soluções digitais,0.1
62f661c12647f9326ecf05a7,br,2022-06-02T00:00:00.000Z,NEGÓCIO ONLINE,pt-BR,0,5000,0,99,negócio online,0.5
62f661c12647f9326ecf05a4,br,2022-06-02T00:00:00.000Z,VENDA ONLINE,pt-BR,0,50000,0,99,venda online,5
62f661c12647f9326ecf05b2,br,2022-07-02T00:00:00.000Z,BANDEIRAS DE CARTÃO,pt-BR,0,50000,0,99,bandeiras de cartão,5
62f661c12647f9326ecf05ab,br,2022-07-02T00:00:00.000Z,NEGÓCIO ONLINE,pt-BR,0,5000,0,99,negócio online,0.5
62f661c12647f9326ecf05a3,br,2022-07-02T00:00:00.000Z,VENDA ONLINE,pt-BR,0,50000,0,99,venda online,5
62f661c12647f9326ecf05b8,br,2022-06-02T00:00:00.000Z,BANDEIRAS DE CARTÃO,pt-BR,0,50000,0,99,bandeiras de cartão,5
62f662112647f9326ecf1163,br,2022-06-02T00:00:00.000Z,VENDAS ONLINE,pt-BR,0,50000,0,99,vendas online,5
62f662112647f9326ecf1161,br,2022-07-02T00:00:00.000Z,VENDAS ONLINE,pt-BR,0,50000,0,99,vendas online,5
62f662112647f9326ecf1168,br,2022-06-02T00:00:00.000Z,COMÉRCIO,pt-BR,0,27100,0,99,comércio,2.7
62f662112647f9326ecf116d,br,2022-07-02T00:00:00.000Z,ADMINISTRAÇÃO,pt-BR,0,500000,0,100,administração,50
62f662112647f9326ecf116a,br,2022-07-02T00:00:00.000Z,COMÉRCIO,pt-BR,0,22200,0,99,comércio,2.2
62f662112647f9326ecf116f,br,2022-06-02T00:00:00.000Z,ADMINISTRAÇÃO,pt-BR,0,500000,0,100,administração,50
62f662b32647f9326ecf2a97,br,2022-07-02T00:00:00.000Z,SUPER LINK,pt-BR,0,5000,0,99,super link,0.5
62f662b32647f9326ecf2a98,br,2022-06-02T00:00:00.000Z,SUPER LINK,pt-BR,0,5000,0,99,super link,0.5
62f663032647f9326ecf3458,br,2022-07-02T00:00:00.000Z,VENDA MAIS,pt-BR,0,50000,0,99,venda mais,5
62f663032647f9326ecf3455,br,2022-07-02T00:00:00.000Z,CLIENTE,pt-BR,0,49500,0,99,cliente,5
62f663032647f9326ecf345a,br,2022-06-02T00:00:00.000Z,CLIENTE,pt-BR,0,49500,0,99,cliente,5
62f663032647f9326ecf3460,br,2022-06-02T00:00:00.000Z,VENDA MAIS,pt-BR,0,50000,0,99,venda mais,5
62f663032647f9326ecf3459,br,2022-07-02T00:00:00.000Z,MÁQUINA DIGITAL,pt-BR,0,500,0,98,máquina digital,0.1
62f663032647f9326ecf345e,br,2022-06-02T00:00:00.000Z,MÁQUINA DIGITAL,pt-BR,0,500,0,98,máquina digital,0.1
62f663532647f9326ecf409b,br,2022-07-02T00:00:00.000Z,SIMULADOR DE VENDAS,pt-BR,0,5000,0,99,simulador de vendas,0.5
